collection_name,name,description,display_order
Deeper,Everyday Reflections,Get your group sharing the small things happening in their lives right now.,1
Deeper,Past & Present ,Get your group sharing moments from growing up and now in a way that brings you closer.,2
Deeper,Relationships & Connection,Meaningful conversations about the people who matter in your lives. Great to understand each other on a deeper level without getting heavy.,3
Raw Truths,Hot Takes Only,Spicy opinions and harmless controversies to get everyone laughing. Perfect for groups who love playful debates and unfiltered honesty.,1
Raw Truths,Mayhem,"For groups wanting some cheeky, inside jokes and unserious fun.",2
Raw Truths,Night Out Energy,"Bring everyone's best night-out stories, habits, and memories together. These prompts let the group relive funny moments and share their current ""going out"" vibe.",3
Real Life Routine,Right Now,A simple way for the group to swap life updates through everyday moments. Easy prompts that make sharing feel natural and low-effort.,1
Real Life Routine,Home,Peek into each other's worlds by sharing the spaces and objects around you. ,2
Real Life Routine,Daily Joys,Celebrate the little wins and simple pleasures together. These prompts help everyone share the bright spots in their everyday lives.,3
Nostalgia,Golden Childhood,"A warm, nostalgic set of prompts that helps the group compare childhood memories. It's a fun way to learn how everyone grew up and what shaped them.",1
Nostalgia,"Old Photos, New Stories",Everyone shares old pictures and the stories behind them. Perfect for sparking unexpected conversations and rediscovering forgotten moments.,2
Nostalgia,Life Milestones,Prompts that help the group share the big (and small) moments that shaped their lives. It's an easy way to learn more about each person's journey.,3

